Education,Experience,Location,Job_Title,Age,Gender,Salary
Master,18,Urban,Director,46,Female,145725.18
PhD,26,Urban,Developer,43,Male,150023.75
High School,34,Rural,Analyst,43,Male,72915.79
Master,10,Suburban,Director,63,Female,138896.18
Master,14,Suburban,Analyst,27,Male,93912.06
PhD,31,Urban,Analyst,36,Female,138944.2
High School,15,Suburban,Engineer,64,Female,52575.59
High School,8,Suburban,Developer,58,Male,48995.29
Master,14,Rural,Director,54,Male,139415.31
Bachelor,23,Rural,Manager,29,Female,101877.04
Master,21,Rural,Consultant,26,Male,110509.15
Master,16,Rural,Technician,60,Male,89170.67
Master,18,Urban,Manager,25,Male,119429.92
Master,24,Rural,Developer,27,Female,121115.11
PhD,26,Suburban,Consultant,53,Female,144182.18
High School,25,Urban,Developer,51,Male,61511.23
PhD,29,Suburban,Analyst,56,Female,132841.07
PhD,15,Suburban,Consultant,61,Female,134009.69
PhD,1,Suburban,Analyst,37,Female,104727.63
Master,25,Rural,Manager,34,Female,133218.6
Bachelor,7,Rural,Manager,63,Female,84062.42
High School,9,Urban,Consultant,51,Male,43813.49
Bachelor,24,Urban,Consultant,40,Male,84848.38
PhD,1,Rural,Director,38,Male,167866.4
PhD,8,Suburban,Developer,40,Female,128242.71
Bachelor,24,Urban,Director,49,Female,112706.42
Bachelor,11,Rural,Developer,47,Male,81628.0
Bachelor,17,Rural,Director,58,Female,111472.49
PhD,8,Rural,Analyst,47,Male,120860.01
PhD,33,Suburban,Consultant,44,Male,152533.78
High School,5,Rural,Manager,30,Male,48762.6
High School,28,Rural,Developer,33,Female,64335.01
PhD,7,Rural,Developer,22,Female,131271.47
Bachelor,9,Rural,Manager,22,Male,84584.04
Bachelor,8,Urban,Director,55,Male,97242.22
High School,12,Urban,Developer,53,Male,56563.54
PhD,34,Rural,Technician,46,Male,129111.97
High School,33,Suburban,Analyst,61,Female,68926.25
High School,23,Urban,Consultant,22,Female,57113.54
Master,24,Rural,Manager,37,Male,128686.61
Master,22,Urban,Consultant,60,Male,108563.03
Master,27,Urban,Technician,26,Female,100188.18
Bachelor,1,Suburban,Developer,43,Female,64675.26
PhD,14,Rural,Developer,50,Male,136992.1
PhD,3,Rural,Technician,24,Male,104460.45
PhD,1,Suburban,Manager,33,Male,136833.69
PhD,5,Suburban,Analyst,47,Female,117621.73
Master,26,Rural,Engineer,37,Female,122748.71
Bachelor,14,Rural,Manager,58,Female,86857.12
Bachelor,27,Suburban,Engineer,43,Male,100685.99
Master,9,Urban,Technician,50,Male,83235.96
Bachelor,15,Urban,Director,35,Female,109632.23
Master,15,Suburban,Engineer,49,Female,108121.54
PhD,26,Urban,Analyst,26,Male,138698.79
Master,13,Suburban,Director,51,Female,134431.6
PhD,32,Urban,Engineer,26,Female,161911.43
PhD,32,Urban,Technician,33,Male,131277.01
High School,4,Rural,Director,37,Female,62929.65
Master,30,Rural,Technician,47,Male,102737.97
High School,23,Urban,Engineer,47,Male,65538.54
Master,15,Urban,Technician,42,Male,96693.03
Master,29,Rural,Analyst,60,Male,113230.98
High School,13,Rural,Engineer,57,Male,56293.99
High School,32,Rural,Engineer,54,Male,75957.49
Master,7,Suburban,Engineer,51,Male,104545.41
Bachelor,22,Urban,Manager,58,Female,98275.58
PhD,28,Rural,Manager,44,Male,163843.14
High School,2,Urban,Manager,31,Male,51011.58
PhD,6,Suburban,Analyst,26,Female,109454.46
Bachelor,28,Suburban,Director,57,Female,115809.63
Bachelor,28,Rural,Technician,55,Female,87504.11
Bachelor,20,Suburban,Developer,52,Male,91402.64
High School,30,Urban,Engineer,31,Female,71556.57
Bachelor,11,Rural,Technician,40,Male,67201.33
High School,28,Urban,Engineer,53,Male,67773.81
Bachelor,25,Urban,Analyst,22,Male,81881.21
PhD,33,Suburban,Engineer,26,Male,158636.98
PhD,1,Suburban,Manager,25,Female,134533.52
Master,27,Suburban,Developer,37,Female,122336.56
PhD,13,Suburban,Consultant,45,Male,125777.35
Master,3,Suburban,Engineer,37,Male,105743.95
PhD,6,Rural,Technician,23,Male,109862.11
High School,8,Urban,Manager,49,Female,54981.62
PhD,27,Urban,Consultant,53,Male,144360.96
Master,9,Urban,Developer,48,Male,101595.28
Master,33,Urban,Consultant,41,Female,127137.95
Bachelor,24,Suburban,Manager,45,Female,100847.31
High School,15,Urban,Director,33,Male,65626.17
PhD,32,Rural,Director,56,Female,198109.27
Bachelor,32,Rural,Consultant,54,Female,100225.37
PhD,24,Urban,Analyst,54,Male,136498.0
PhD,12,Urban,Technician,64,Female,113257.2
Bachelor,2,Rural,Technician,58,Male,58134.15
Bachelor,3,Rural,Consultant,33,Female,67182.43
Bachelor,17,Suburban,Engineer,24,Male,91327.28
Bachelor,2,Rural,Engineer,22,Male,75660.64
Bachelor,2,Suburban,Technician,54,Male,52452.19
PhD,28,Suburban,Technician,61,Female,122263.67
Bachelor,23,Suburban,Director,31,Male,111764.63
High School,32,Suburban,Analyst,64,Female,71105.53
